epoch,loss
0,0
0,2.311732530593872
0,2.2685563564300537
0,2.2228124141693115
0,2.1491520404815674
1,2.1757941246032715
1,2.1218135356903076
1,2.0273478031158447
1,1.8707717657089233
2,1.9299018383026123
2,1.8205065727233887
2,1.6637001037597656
2,1.4786036014556885
3,1.5872626304626465
3,1.4691073894500732
3,1.3439140319824219
3,1.2108557224273682
4,1.3248893022537231
4,1.2478837966918945
4,1.1550489664077759
4,1.0573512315750122
5,1.153327465057373
5,1.1143248081207275
5,1.0415613651275635
5,0.9625380039215088
6,1.0354794263839722
6,1.0262091159820557
6,0.9680622220039368
6,0.8985171318054199
7,0.9486733675003052
7,0.9632202982902527
7,0.9160934686660767
7,0.8518233299255371
8,0.8818669319152832
8,0.915740966796875
8,0.8765116333961487
8,0.8158420920372009
9,0.8285510540008545
9,0.8789227604866028
9,0.8442407250404358
9,0.7868947386741638
10,0.7868947386741638
